iter	Logloss
0	0.6875968352
1	0.6829037677
2	0.6795124456
3	0.6749149197
4	0.6710364712
5	0.6673682377
6	0.6637803247
7	0.6600780471
8	0.6569666036
9	0.6540125929
10	0.6498251916
11	0.6470564999
12	0.6429467093
13	0.6388235451
14	0.63485795
15	0.6313576989
16	0.6279926936
17	0.624679386
18	0.6209934021
19	0.6184087487
20	0.6150591519
21	0.6125439742
22	0.6095682881
23	0.6064827142
24	0.6036873952
25	0.6016347961
26	0.598932485
27	0.5960601121
28	0.5936726304
29	0.5910059785
30	0.5882811381
31	0.5858595108
32	0.5832627048
33	0.5815444056
34	0.5787659106
35	0.5758829267
36	0.5726809161
37	0.5703138875
38	0.5680822593
39	0.5658019031
40	0.5638052085
41	0.5617471303
42	0.5595674832
43	0.5571560514
44	0.5552992648
45	0.5533418418
46	0.5513251701
47	0.5493177526
48	0.5465943234
49	0.5446472005
50	0.5425820959
51	0.5405024771
52	0.538678401
53	0.5369029084
54	0.535033915
55	0.532716177
56	0.5311134344
57	0.5291513618
58	0.5275252822
59	0.5253931575
60	0.5232017213
61	0.5210700263
62	0.5199546586
63	0.5180205276
64	0.516488606
65	0.5150823876
66	0.5133819654
67	0.5117286575
68	0.5101924214
69	0.508170821
70	0.5063708972
71	0.5050156408
72	0.5035821863
73	0.5018403919
74	0.5001059997
75	0.4987487062
76	0.4977186867
77	0.4965041849
78	0.4953789946
79	0.4941568845
80	0.4926549392
81	0.4914268782
82	0.4903762558
83	0.4888610848
84	0.4877469898
85	0.4859344298
86	0.4846545446
87	0.4832178419
88	0.4820159184
89	0.480830052
90	0.4798290231
91	0.4786677915
92	0.4774150542
93	0.475798419
94	0.4744184821
95	0.4733128392
96	0.4722326098
97	0.4708575884
98	0.4696358964
99	0.4685297062
100	0.4678083973
101	0.46650731
102	0.4653283431
103	0.4645797721
104	0.4633442896
105	0.4623475143
106	0.4612398419
107	0.4604306399
108	0.4597339691
109	0.4588056769
110	0.4579194321
111	0.4572060533
112	0.4564638896
113	0.4554734604
114	0.4546158259
115	0.4534646613
116	0.4523136785
117	0.4513635017
118	0.4504459177
119	0.4498230536
120	0.4487187557
121	0.4476188247
122	0.4467673272
123	0.4458632839
124	0.4450970036
125	0.4443194612
126	0.4437157367
127	0.443151385
128	0.4423750085
129	0.4419564518
130	0.4411837119
131	0.4405548043
132	0.439726032
133	0.4390620547
134	0.438440337
135	0.4378820833
136	0.4370688727
137	0.4363969943
138	0.4359419441
139	0.4352963098
140	0.4347114715
141	0.4339695523
142	0.4333728564
143	0.4326131178
144	0.4319504249
145	0.4310998528
146	0.4307032391
147	0.4299422777
148	0.4292953386
149	0.4283744655
150	0.4273067336
151	0.4268192848
152	0.4260573119
153	0.4254502431
154	0.4249678775
155	0.4243504968
156	0.4238111124
157	0.4235154451
158	0.4226874384
159	0.4221394121
160	0.4214371712
161	0.4206990725
162	0.4200918771
163	0.4195282304
164	0.4189317067
165	0.4181669506
166	0.4174975902
167	0.4169035728
168	0.416123728
169	0.4154991786
170	0.4148766201
171	0.4141512037
172	0.413762447
173	0.4131902099
174	0.4127613509
175	0.4119477018
176	0.4114487818
177	0.4110069522
178	0.4104775151
179	0.4099643264
180	0.4095058411
181	0.4089552739
182	0.4083809378
183	0.4078289501
184	0.4072196728
185	0.4067413546
186	0.4059541331
187	0.4052470746
188	0.4046762678
189	0.4043335436
190	0.4039015305
191	0.4035281268
192	0.403045665
193	0.4025989653
194	0.4019307824
195	0.4015983066
196	0.401326892
197	0.4009524382
198	0.4005647045
199	0.4001787528
200	0.3998079365
201	0.3989613104
202	0.3984092048
203	0.3979883214
204	0.3975910528
205	0.3972812487
206	0.3968452321
207	0.396467457
208	0.3958307119
209	0.3952068556
210	0.3947573773
211	0.3945122486
212	0.3939223284
213	0.3933851757
214	0.3928941077
215	0.3925854639
216	0.3919745078
217	0.391437633
218	0.391089199
219	0.3907980893
220	0.3903936443
221	0.3898670034
222	0.3893039388
223	0.3888811917
224	0.3882354466
225	0.3878741063
226	0.3875029223
227	0.3870989401
228	0.3866437282
229	0.386351122
230	0.3860660687
231	0.3858172289
232	0.3852929678
233	0.3849997348
234	0.3846575266
235	0.3841568122
236	0.3838905431
237	0.3836518314
238	0.3828510213
239	0.382436038
240	0.3821396428
241	0.3813547766
242	0.3809782191
243	0.3806226614
244	0.3804005859
245	0.3801273943
246	0.379978843
247	0.3796215515
248	0.3790072071
249	0.3786447782
250	0.3784230511
251	0.3781405689
252	0.3778164713
253	0.3773753226
254	0.3771087816
255	0.3767466153
256	0.3764748927
257	0.3761458219
258	0.3756873487
259	0.3755133694
260	0.3751682696
261	0.3746877308
262	0.3744077978
263	0.3741167348
264	0.3736330811
265	0.3733593262
266	0.3729516823
267	0.3725985472
268	0.3721444688
269	0.3717416231
270	0.371367446
271	0.3708320737
272	0.3705878183
273	0.3701965492
274	0.3697258901
275	0.3693549352
276	0.3690765584
277	0.3685168153
278	0.3680376601
279	0.3676026726
280	0.3672117747
281	0.3667472806
282	0.3665110188
283	0.366273852
284	0.3657781749
285	0.3654315651
286	0.3651390667
287	0.3647196613
288	0.3644967822
289	0.3639747119
290	0.3637199247
291	0.363307721
292	0.362900523
293	0.3625656644
294	0.3623123149
295	0.3617985832
296	0.3615386079
297	0.3609155293
298	0.3607040408
299	0.3604302808
300	0.3602619705
301	0.3597441247
302	0.3594778168
303	0.3591083591
304	0.3587437058
305	0.3582665708
306	0.3580928624
307	0.357611521
308	0.3573456021
309	0.3572274712
310	0.3570951265
311	0.3569352976
312	0.3566198638
313	0.3562004801
314	0.356053158
315	0.3558048369
316	0.3554772871
317	0.3551809497
318	0.3548665409
319	0.3544930278
320	0.3541069159
321	0.3538388798
322	0.3536128178
323	0.3533693618
324	0.3531585987
325	0.3529431437
326	0.3526076991
327	0.3523603504
328	0.3519476364
329	0.3516211979
330	0.3512743108
331	0.3509514881
332	0.3507593545
333	0.3504539642
334	0.350008813
335	0.3498017766
336	0.3494428236
337	0.3491771319
338	0.3485959261
339	0.3484312183
340	0.3481033015
341	0.3479084835
342	0.347361691
343	0.3471854147
344	0.3467496332
345	0.346567199
346	0.3462135629
347	0.3460166014
348	0.3457617054
349	0.3453016353
350	0.3450899256
351	0.3448263644
352	0.3444926128
353	0.3442334234
354	0.343881432
355	0.3436186955
356	0.3434715252
357	0.343049368
358	0.3428053701
359	0.3425427747
360	0.342333846
361	0.3420287869
362	0.3416056762
363	0.3413555833
364	0.3413301847
365	0.3410424459
366	0.3407042253
367	0.3405302165
368	0.3403294382
369	0.3401078296
